date,primary_type,arrest,domestic,district,year,latitude,longitude
2024-02-12 10:00:00 UTC,DECEPTIVE PRACTICE,false,false,4,2024,41.651431329,-87.527258234
2025-12-03 19:45:00 UTC,THEFT,false,false,5,2025,41.697521825,-87.595822678
2025-06-13 16:05:00 UTC,THEFT,true,false,9,2025,41.828983577,-87.641534133
2025-03-10 18:00:00 UTC,DECEPTIVE PRACTICE,false,false,25,2025,41.919002999,-87.786525206
2025-03-06 17:48:00 UTC,WEAPONS VIOLATION,true,false,4,2025,41.702119317,-87.529243761
2021-05-15 15:05:00 UTC,THEFT,false,false,19,2021,41.934783012,-87.639366558
2021-03-06 23:04:00 UTC,ROBBERY,false,false,17,2021,41.953285676,-87.718533298
2020-09-15 06:45:00 UTC,BATTERY,false,true,15,2020,41.884703096,-87.755224443
2021-10-02 22:45:00 UTC,CRIMINAL DAMAGE,false,false,4,2021,41.75113362,-87.558946894
2024-09-02 01:40:00 UTC,BATTERY,false,false,12,2024,41.884249554,-87.650148454
2025-01-31 13:30:00 UTC,CRIMINAL DAMAGE,false,false,10,2025,41.847168173,-87.683057485
2020-05-16 18:14:00 UTC,WEAPONS VIOLATION,true,false,1,2020,41.869712286,-87.642640861
2023-10-17 22:00:00 UTC,MOTOR VEHICLE THEFT,false,false,4,2023,41.76015578,-87.556752911
2022-09-27 16:00:00 UTC,DECEPTIVE PRACTICE,false,false,18,2022,41.893560332,-87.634120048
2025-12-05 19:48:00 UTC,THEFT,false,false,18,2025,41.893469034,-87.632648229
2022-04-20 17:45:00 UTC,ASSAULT,false,false,19,2022,41.947142256,-87.659520013
2021-01-29 07:00:00 UTC,THEFT,false,true,10,2021,41.854884404,-87.704129611
2021-01-07 17:00:00 UTC,DECEPTIVE PRACTICE,false,false,2,2021,41.7943228,-87.624781229
2020-06-13 21:30:00 UTC,ASSAULT,true,true,25,2020,41.910279613,-87.746066324
2025-11-06 12:05:00 UTC,DECEPTIVE PRACTICE,false,false,5,2025,41.707357722,-87.6109818
2023-10-20 18:00:00 UTC,THEFT,false,false,1,2023,41.888165132,-87.622937212
2024-06-17 03:00:00 UTC,THEFT,false,false,18,2024,41.910361303,-87.6288595
2024-01-26 17:18:00 UTC,OTHER OFFENSE,false,false,11,2024,41.870926413,-87.708991346
2021-01-24 13:15:00 UTC,CRIMINAL DAMAGE,false,false,4,2021,41.734198335,-87.590508466
2020-09-26 17:45:00 UTC,OTHER OFFENSE,false,true,10,2020,41.861995599,-87.712855753
2024-11-15 17:45:00 UTC,THEFT,true,false,8,2024,41.76460796,-87.68867896
2020-12-11 16:00:00 UTC,BATTERY,false,false,15,2020,41.879275956,-87.763105845
2023-04-15 11:00:00 UTC,THEFT,false,false,16,2023,41.976290414,-87.905227221
2022-09-10 04:05:00 UTC,ASSAULT,false,false,3,2022,41.76322925,-87.601892034
